status file for recon-all
Wed Jan  3 22:37:43 UTC 2018
#@# MotionCor Wed Jan  3 22:37:49 UTC 2018
#@# Talairach Wed Jan  3 22:38:13 UTC 2018
#@# Talairach Failure Detection Wed Jan  3 23:25:47 UTC 2018
#@# Nu Intensity Correction Wed Jan  3 23:25:48 UTC 2018
#@# Intensity Normalization Wed Jan  3 23:53:48 UTC 2018
#@# Skull Stripping Wed Jan  3 23:57:11 UTC 2018
#@# EM Registration Thu Jan  4 00:25:16 UTC 2018
#@# CA Normalize Thu Jan  4 01:03:44 UTC 2018
#@# CA Reg Thu Jan  4 01:06:45 UTC 2018
#@# SubCort Seg Thu Jan  4 06:35:08 UTC 2018
#@# Merge ASeg Thu Jan  4 08:55:54 UTC 2018
#@# Intensity Normalization2 Thu Jan  4 08:55:54 UTC 2018
#@# Mask BFS Thu Jan  4 09:01:48 UTC 2018
#@# WM Segmentation Thu Jan  4 09:01:50 UTC 2018
#@# Fill Thu Jan  4 09:05:08 UTC 2018
#@# Tessellate lh Thu Jan  4 09:06:28 UTC 2018
#@# Tessellate rh Thu Jan  4 09:06:38 UTC 2018
#@# Smooth1 lh Thu Jan  4 09:06:49 UTC 2018
#@# Smooth1 rh Thu Jan  4 09:06:58 UTC 2018
#@# Inflation1 lh Thu Jan  4 09:07:08 UTC 2018
#@# Inflation1 rh Thu Jan  4 09:08:07 UTC 2018
#@# QSphere lh Thu Jan  4 09:09:05 UTC 2018
#@# QSphere rh Thu Jan  4 09:15:04 UTC 2018
#@# Fix Topology Copy lh Thu Jan  4 09:21:21 UTC 2018
#@# Fix Topology Copy rh Thu Jan  4 09:21:21 UTC 2018
#@# Fix Topology lh Thu Jan  4 09:21:21 UTC 2018
#@# Fix Topology rh Thu Jan  4 15:46:41 UTC 2018
#@# Make White Surf lh Sat Jan  6 00:48:53 UTC 2018
#@# Make White Surf rh Sat Jan  6 00:59:01 UTC 2018
#@# Smooth2 lh Sat Jan  6 01:07:29 UTC 2018
#@# Smooth2 rh Sat Jan  6 01:07:37 UTC 2018
#@# Inflation2 lh Sat Jan  6 01:07:46 UTC 2018
#@# Inflation2 rh Sat Jan  6 01:08:54 UTC 2018
#@# Curv .H and .K lh Sat Jan  6 01:09:59 UTC 2018
#@# Curv .H and .K rh Sat Jan  6 01:12:18 UTC 2018
#@# Curvature Stats lh Sat Jan  6 01:14:37 UTC 2018
#@# Curvature Stats rh Sat Jan  6 01:14:44 UTC 2018
#@# Sphere lh Sat Jan  6 01:14:49 UTC 2018
#@# Sphere rh Sat Jan  6 03:02:52 UTC 2018
#@# Surf Reg lh Sat Jan  6 04:46:32 UTC 2018
#@# Surf Reg rh Sat Jan  6 06:44:08 UTC 2018
#@# Jacobian white lh Sat Jan  6 09:01:04 UTC 2018
#@# Jacobian white rh Sat Jan  6 09:01:08 UTC 2018
#@# AvgCurv lh Sat Jan  6 09:01:11 UTC 2018
#@# AvgCurv rh Sat Jan  6 09:01:13 UTC 2018
#@# Cortical Parc lh Sat Jan  6 09:01:16 UTC 2018
#@# Cortical Parc rh Sat Jan  6 09:01:38 UTC 2018
#@# Make Pial Surf lh Sat Jan  6 09:01:59 UTC 2018
#@# Make Pial Surf rh Sat Jan  6 09:27:08 UTC 2018
#@# Surf Volume lh Sat Jan  6 09:49:07 UTC 2018
#@# Surf Volume rh Sat Jan  6 09:49:13 UTC 2018
#@# Cortical ribbon mask Sat Jan  6 09:49:17 UTC 2018
#@# Parcellation Stats lh Sat Jan  6 10:00:46 UTC 2018
#@# Parcellation Stats rh Sat Jan  6 10:02:48 UTC 2018
#@# Cortical Parc 2 lh Sat Jan  6 10:04:47 UTC 2018
#@# Cortical Parc 2 rh Sat Jan  6 10:05:16 UTC 2018
#@# Parcellation Stats 2 lh Sat Jan  6 10:05:43 UTC 2018
#@# Parcellation Stats 2 rh Sat Jan  6 10:06:42 UTC 2018
#@# Cortical Parc 3 lh Sat Jan  6 10:07:40 UTC 2018
#@# Cortical Parc 3 rh Sat Jan  6 10:08:02 UTC 2018
#@# Parcellation Stats 3 lh Sat Jan  6 10:08:24 UTC 2018
#@# Parcellation Stats 3 rh Sat Jan  6 10:09:25 UTC 2018
#@# WM/GM Contrast lh Sat Jan  6 10:10:24 UTC 2018
#@# WM/GM Contrast rh Sat Jan  6 10:10:35 UTC 2018
#@# Relabel Hypointensities Sat Jan  6 10:10:45 UTC 2018
#@# AParc-to-ASeg aparc Sat Jan  6 10:11:24 UTC 2018
#@# AParc-to-ASeg a2009s Sat Jan  6 10:20:31 UTC 2018
#@# AParc-to-ASeg DKTatlas Sat Jan  6 10:29:32 UTC 2018
#@# APas-to-ASeg Sat Jan  6 10:38:33 UTC 2018
#@# ASeg Stats Sat Jan  6 10:38:43 UTC 2018
#@# WMParc Sat Jan  6 10:42:53 UTC 2018
#@# BA_exvivo Labels lh Sat Jan  6 11:00:32 UTC 2018
#@# BA_exvivo Labels rh Sat Jan  6 11:08:29 UTC 2018
recon-all -s 3277 finished without error at Sat Jan  6 11:16:00 UTC 2018
