status file for recon-all
Mon Jan  8 18:57:23 UTC 2018
#@# MotionCor Mon Jan  8 18:59:32 UTC 2018
#@# Talairach Mon Jan  8 18:59:57 UTC 2018
#@# Talairach Failure Detection Mon Jan  8 19:19:36 UTC 2018
#@# Nu Intensity Correction Mon Jan  8 19:19:36 UTC 2018
#@# Intensity Normalization Mon Jan  8 19:33:24 UTC 2018
#@# Skull Stripping Mon Jan  8 19:37:13 UTC 2018
#@# EM Registration Mon Jan  8 20:09:29 UTC 2018
#@# CA Normalize Mon Jan  8 20:51:18 UTC 2018
#@# CA Reg Mon Jan  8 20:54:20 UTC 2018
#@# SubCort Seg Tue Jan  9 03:07:37 UTC 2018
#@# Merge ASeg Tue Jan  9 04:42:00 UTC 2018
#@# Intensity Normalization2 Tue Jan  9 04:42:00 UTC 2018
#@# Mask BFS Tue Jan  9 04:48:12 UTC 2018
#@# WM Segmentation Tue Jan  9 04:48:17 UTC 2018
#@# Fill Tue Jan  9 04:51:29 UTC 2018
#@# Tessellate lh Tue Jan  9 04:52:59 UTC 2018
#@# Tessellate rh Tue Jan  9 04:53:09 UTC 2018
#@# Smooth1 lh Tue Jan  9 04:53:18 UTC 2018
#@# Smooth1 rh Tue Jan  9 04:53:26 UTC 2018
#@# Inflation1 lh Tue Jan  9 04:53:33 UTC 2018
#@# Inflation1 rh Tue Jan  9 04:54:19 UTC 2018
#@# QSphere lh Tue Jan  9 04:55:05 UTC 2018
#@# QSphere rh Tue Jan  9 05:00:10 UTC 2018
#@# Fix Topology Copy lh Tue Jan  9 05:04:56 UTC 2018
#@# Fix Topology Copy rh Tue Jan  9 05:04:57 UTC 2018
#@# Fix Topology lh Tue Jan  9 05:04:57 UTC 2018
#@# Fix Topology rh Tue Jan  9 05:45:51 UTC 2018
#@# Make White Surf lh Tue Jan  9 06:19:57 UTC 2018
#@# Make White Surf rh Tue Jan  9 06:27:27 UTC 2018
#@# Smooth2 lh Tue Jan  9 06:35:19 UTC 2018
#@# Smooth2 rh Tue Jan  9 06:35:27 UTC 2018
#@# Inflation2 lh Tue Jan  9 06:35:35 UTC 2018
#@# Inflation2 rh Tue Jan  9 06:36:23 UTC 2018
#@# Curv .H and .K lh Tue Jan  9 06:37:11 UTC 2018
#@# Curv .H and .K rh Tue Jan  9 06:39:10 UTC 2018
#@# Curvature Stats lh Tue Jan  9 06:41:07 UTC 2018
#@# Curvature Stats rh Tue Jan  9 06:41:13 UTC 2018
#@# Sphere lh Tue Jan  9 06:41:18 UTC 2018
#@# Sphere rh Tue Jan  9 07:52:51 UTC 2018
#@# Surf Reg lh Tue Jan  9 08:57:03 UTC 2018
#@# Surf Reg rh Tue Jan  9 10:13:02 UTC 2018
#@# Jacobian white lh Tue Jan  9 11:30:32 UTC 2018
#@# Jacobian white rh Tue Jan  9 11:30:35 UTC 2018
#@# AvgCurv lh Tue Jan  9 11:30:38 UTC 2018
#@# AvgCurv rh Tue Jan  9 11:30:40 UTC 2018
#@# Cortical Parc lh Tue Jan  9 11:30:42 UTC 2018
#@# Cortical Parc rh Tue Jan  9 11:31:05 UTC 2018
#@# Make Pial Surf lh Tue Jan  9 11:31:27 UTC 2018
#@# Make Pial Surf rh Tue Jan  9 11:52:13 UTC 2018
#@# Surf Volume lh Tue Jan  9 12:12:28 UTC 2018
#@# Surf Volume rh Tue Jan  9 12:12:32 UTC 2018
#@# Cortical ribbon mask Tue Jan  9 12:12:37 UTC 2018
#@# Parcellation Stats lh Tue Jan  9 12:31:26 UTC 2018
#@# Parcellation Stats rh Tue Jan  9 12:33:14 UTC 2018
#@# Cortical Parc 2 lh Tue Jan  9 12:35:04 UTC 2018
#@# Cortical Parc 2 rh Tue Jan  9 12:35:29 UTC 2018
#@# Parcellation Stats 2 lh Tue Jan  9 12:35:55 UTC 2018
#@# Parcellation Stats 2 rh Tue Jan  9 12:36:52 UTC 2018
#@# Cortical Parc 3 lh Tue Jan  9 12:37:48 UTC 2018
#@# Cortical Parc 3 rh Tue Jan  9 12:38:08 UTC 2018
#@# Parcellation Stats 3 lh Tue Jan  9 12:38:29 UTC 2018
#@# Parcellation Stats 3 rh Tue Jan  9 12:39:25 UTC 2018
#@# WM/GM Contrast lh Tue Jan  9 12:40:19 UTC 2018
#@# WM/GM Contrast rh Tue Jan  9 12:40:28 UTC 2018
#@# Relabel Hypointensities Tue Jan  9 12:40:36 UTC 2018
#@# AParc-to-ASeg aparc Tue Jan  9 12:41:07 UTC 2018
#@# AParc-to-ASeg a2009s Tue Jan  9 12:48:34 UTC 2018
#@# AParc-to-ASeg DKTatlas Tue Jan  9 12:56:02 UTC 2018
#@# APas-to-ASeg Tue Jan  9 13:03:30 UTC 2018
#@# ASeg Stats Tue Jan  9 13:03:40 UTC 2018
#@# WMParc Tue Jan  9 13:09:59 UTC 2018
#@# BA_exvivo Labels lh Tue Jan  9 13:25:13 UTC 2018
#@# BA_exvivo Labels rh Tue Jan  9 13:32:07 UTC 2018
recon-all -s 3506 finished without error at Tue Jan  9 13:38:54 UTC 2018
