status file for recon-all
Mon Jan  8 18:57:03 UTC 2018
#@# MotionCor Mon Jan  8 18:58:34 UTC 2018
#@# Talairach Mon Jan  8 18:59:32 UTC 2018
#@# Talairach Failure Detection Mon Jan  8 19:19:59 UTC 2018
#@# Nu Intensity Correction Mon Jan  8 19:19:59 UTC 2018
#@# Intensity Normalization Mon Jan  8 19:40:02 UTC 2018
#@# Skull Stripping Mon Jan  8 19:43:44 UTC 2018
#@# EM Registration Mon Jan  8 20:14:52 UTC 2018
#@# CA Normalize Mon Jan  8 20:46:15 UTC 2018
#@# CA Reg Mon Jan  8 20:49:19 UTC 2018
#@# SubCort Seg Tue Jan  9 02:15:46 UTC 2018
#@# Merge ASeg Tue Jan  9 04:04:41 UTC 2018
#@# Intensity Normalization2 Tue Jan  9 04:04:41 UTC 2018
#@# Mask BFS Tue Jan  9 04:10:53 UTC 2018
#@# WM Segmentation Tue Jan  9 04:10:56 UTC 2018
#@# Fill Tue Jan  9 04:14:13 UTC 2018
#@# Tessellate lh Tue Jan  9 04:15:46 UTC 2018
#@# Tessellate rh Tue Jan  9 04:15:57 UTC 2018
#@# Smooth1 lh Tue Jan  9 04:16:06 UTC 2018
#@# Smooth1 rh Tue Jan  9 04:16:15 UTC 2018
#@# Inflation1 lh Tue Jan  9 04:16:22 UTC 2018
#@# Inflation1 rh Tue Jan  9 04:17:09 UTC 2018
#@# QSphere lh Tue Jan  9 04:17:57 UTC 2018
#@# QSphere rh Tue Jan  9 04:23:44 UTC 2018
#@# Fix Topology Copy lh Tue Jan  9 04:29:19 UTC 2018
#@# Fix Topology Copy rh Tue Jan  9 04:29:19 UTC 2018
#@# Fix Topology lh Tue Jan  9 04:29:19 UTC 2018
#@# Fix Topology rh Tue Jan  9 04:43:40 UTC 2018
#@# Make White Surf lh Tue Jan  9 05:08:39 UTC 2018
#@# Make White Surf rh Tue Jan  9 05:16:05 UTC 2018
#@# Smooth2 lh Tue Jan  9 05:23:35 UTC 2018
#@# Smooth2 rh Tue Jan  9 05:23:41 UTC 2018
#@# Inflation2 lh Tue Jan  9 05:23:48 UTC 2018
#@# Inflation2 rh Tue Jan  9 05:24:33 UTC 2018
#@# Curv .H and .K lh Tue Jan  9 05:25:17 UTC 2018
#@# Curv .H and .K rh Tue Jan  9 05:27:11 UTC 2018
#@# Curvature Stats lh Tue Jan  9 05:29:06 UTC 2018
#@# Curvature Stats rh Tue Jan  9 05:29:11 UTC 2018
#@# Sphere lh Tue Jan  9 05:29:16 UTC 2018
#@# Sphere rh Tue Jan  9 06:29:17 UTC 2018
#@# Surf Reg lh Tue Jan  9 07:25:13 UTC 2018
#@# Surf Reg rh Tue Jan  9 08:29:57 UTC 2018
#@# Jacobian white lh Tue Jan  9 09:35:48 UTC 2018
#@# Jacobian white rh Tue Jan  9 09:35:50 UTC 2018
#@# AvgCurv lh Tue Jan  9 09:35:53 UTC 2018
#@# AvgCurv rh Tue Jan  9 09:35:55 UTC 2018
#@# Cortical Parc lh Tue Jan  9 09:35:58 UTC 2018
#@# Cortical Parc rh Tue Jan  9 09:36:21 UTC 2018
#@# Make Pial Surf lh Tue Jan  9 09:36:43 UTC 2018
#@# Make Pial Surf rh Tue Jan  9 09:58:22 UTC 2018
#@# Surf Volume lh Tue Jan  9 10:18:50 UTC 2018
#@# Surf Volume rh Tue Jan  9 10:18:54 UTC 2018
#@# Cortical ribbon mask Tue Jan  9 10:18:58 UTC 2018
#@# Parcellation Stats lh Tue Jan  9 10:39:44 UTC 2018
#@# Parcellation Stats rh Tue Jan  9 10:41:56 UTC 2018
#@# Cortical Parc 2 lh Tue Jan  9 10:44:02 UTC 2018
#@# Cortical Parc 2 rh Tue Jan  9 10:44:32 UTC 2018
#@# Parcellation Stats 2 lh Tue Jan  9 10:45:03 UTC 2018
#@# Parcellation Stats 2 rh Tue Jan  9 10:46:10 UTC 2018
#@# Cortical Parc 3 lh Tue Jan  9 10:47:17 UTC 2018
#@# Cortical Parc 3 rh Tue Jan  9 10:47:43 UTC 2018
#@# Parcellation Stats 3 lh Tue Jan  9 10:48:09 UTC 2018
#@# Parcellation Stats 3 rh Tue Jan  9 10:49:14 UTC 2018
#@# WM/GM Contrast lh Tue Jan  9 10:50:19 UTC 2018
#@# WM/GM Contrast rh Tue Jan  9 10:50:30 UTC 2018
#@# Relabel Hypointensities Tue Jan  9 10:50:40 UTC 2018
#@# AParc-to-ASeg aparc Tue Jan  9 10:51:21 UTC 2018
#@# AParc-to-ASeg a2009s Tue Jan  9 11:00:37 UTC 2018
#@# AParc-to-ASeg DKTatlas Tue Jan  9 11:09:28 UTC 2018
#@# APas-to-ASeg Tue Jan  9 11:17:49 UTC 2018
#@# ASeg Stats Tue Jan  9 11:18:00 UTC 2018
#@# WMParc Tue Jan  9 11:24:24 UTC 2018
#@# BA_exvivo Labels lh Tue Jan  9 11:41:18 UTC 2018
#@# BA_exvivo Labels rh Tue Jan  9 11:48:19 UTC 2018
recon-all -s 3505 finished without error at Tue Jan  9 11:55:21 UTC 2018
