status file for recon-all
Thu Jan  4 22:40:02 UTC 2018
#@# MotionCor Thu Jan  4 22:40:08 UTC 2018
#@# Talairach Thu Jan  4 22:40:23 UTC 2018
#@# Talairach Failure Detection Thu Jan  4 22:48:32 UTC 2018
#@# Nu Intensity Correction Thu Jan  4 22:48:32 UTC 2018
#@# Intensity Normalization Thu Jan  4 22:56:02 UTC 2018
#@# Skull Stripping Thu Jan  4 23:00:10 UTC 2018
#@# EM Registration Thu Jan  4 23:48:10 UTC 2018
#@# CA Normalize Fri Jan  5 00:27:37 UTC 2018
#@# CA Reg Fri Jan  5 00:30:44 UTC 2018
#@# SubCort Seg Fri Jan  5 06:09:17 UTC 2018
#@# Merge ASeg Fri Jan  5 08:09:21 UTC 2018
#@# Intensity Normalization2 Fri Jan  5 08:09:21 UTC 2018
#@# Mask BFS Fri Jan  5 08:15:29 UTC 2018
#@# WM Segmentation Fri Jan  5 08:15:32 UTC 2018
#@# Fill Fri Jan  5 08:19:30 UTC 2018
#@# Tessellate lh Fri Jan  5 08:21:00 UTC 2018
#@# Tessellate rh Fri Jan  5 08:21:08 UTC 2018
#@# Smooth1 lh Fri Jan  5 08:21:16 UTC 2018
#@# Smooth1 rh Fri Jan  5 08:21:25 UTC 2018
#@# Inflation1 lh Fri Jan  5 08:21:32 UTC 2018
#@# Inflation1 rh Fri Jan  5 08:22:22 UTC 2018
#@# QSphere lh Fri Jan  5 08:23:12 UTC 2018
#@# QSphere rh Fri Jan  5 08:28:36 UTC 2018
#@# Fix Topology Copy lh Fri Jan  5 08:34:05 UTC 2018
#@# Fix Topology Copy rh Fri Jan  5 08:34:05 UTC 2018
#@# Fix Topology lh Fri Jan  5 08:34:05 UTC 2018
#@# Fix Topology rh Fri Jan  5 08:48:51 UTC 2018
#@# Make White Surf lh Fri Jan  5 09:27:20 UTC 2018
#@# Make White Surf rh Fri Jan  5 09:35:00 UTC 2018
#@# Smooth2 lh Fri Jan  5 09:41:51 UTC 2018
#@# Smooth2 rh Fri Jan  5 09:42:00 UTC 2018
#@# Inflation2 lh Fri Jan  5 09:42:08 UTC 2018
#@# Inflation2 rh Fri Jan  5 09:43:00 UTC 2018
#@# Curv .H and .K lh Fri Jan  5 09:43:50 UTC 2018
#@# Curv .H and .K rh Fri Jan  5 09:45:55 UTC 2018
#@# Curvature Stats lh Fri Jan  5 09:47:54 UTC 2018
#@# Curvature Stats rh Fri Jan  5 09:47:59 UTC 2018
#@# Sphere lh Fri Jan  5 09:48:04 UTC 2018
#@# Sphere rh Fri Jan  5 10:55:21 UTC 2018
#@# Surf Reg lh Fri Jan  5 11:40:53 UTC 2018
#@# Surf Reg rh Fri Jan  5 12:59:14 UTC 2018
#@# Jacobian white lh Fri Jan  5 14:26:56 UTC 2018
#@# Jacobian white rh Fri Jan  5 14:26:59 UTC 2018
#@# AvgCurv lh Fri Jan  5 14:27:03 UTC 2018
#@# AvgCurv rh Fri Jan  5 14:27:05 UTC 2018
#@# Cortical Parc lh Fri Jan  5 14:27:08 UTC 2018
#@# Cortical Parc rh Fri Jan  5 14:27:30 UTC 2018
#@# Make Pial Surf lh Fri Jan  5 14:27:51 UTC 2018
#@# Make Pial Surf rh Fri Jan  5 14:49:40 UTC 2018
#@# Surf Volume lh Fri Jan  5 15:12:15 UTC 2018
#@# Surf Volume rh Fri Jan  5 15:12:21 UTC 2018
#@# Cortical ribbon mask Fri Jan  5 15:12:26 UTC 2018
#@# Parcellation Stats lh Fri Jan  5 15:33:29 UTC 2018
#@# Parcellation Stats rh Fri Jan  5 15:35:42 UTC 2018
#@# Cortical Parc 2 lh Fri Jan  5 15:37:48 UTC 2018
#@# Cortical Parc 2 rh Fri Jan  5 15:38:23 UTC 2018
#@# Parcellation Stats 2 lh Fri Jan  5 15:38:51 UTC 2018
#@# Parcellation Stats 2 rh Fri Jan  5 15:40:01 UTC 2018
#@# Cortical Parc 3 lh Fri Jan  5 15:41:09 UTC 2018
#@# Cortical Parc 3 rh Fri Jan  5 15:41:37 UTC 2018
#@# Parcellation Stats 3 lh Fri Jan  5 15:42:01 UTC 2018
#@# Parcellation Stats 3 rh Fri Jan  5 15:43:04 UTC 2018
#@# WM/GM Contrast lh Fri Jan  5 15:44:08 UTC 2018
#@# WM/GM Contrast rh Fri Jan  5 15:44:18 UTC 2018
#@# Relabel Hypointensities Fri Jan  5 15:44:26 UTC 2018
#@# AParc-to-ASeg aparc Fri Jan  5 15:45:06 UTC 2018
#@# AParc-to-ASeg a2009s Fri Jan  5 15:52:33 UTC 2018
#@# AParc-to-ASeg DKTatlas Fri Jan  5 16:00:26 UTC 2018
#@# APas-to-ASeg Fri Jan  5 16:08:33 UTC 2018
#@# ASeg Stats Fri Jan  5 16:08:47 UTC 2018
#@# WMParc Fri Jan  5 16:15:22 UTC 2018
#@# BA_exvivo Labels lh Fri Jan  5 16:34:49 UTC 2018
#@# BA_exvivo Labels rh Fri Jan  5 16:42:37 UTC 2018
recon-all -s 3454 finished without error at Fri Jan  5 16:50:04 UTC 2018
