status file for recon-all
Wed Jan  3 22:38:14 UTC 2018
#@# MotionCor Wed Jan  3 22:44:31 UTC 2018
#@# Talairach Wed Jan  3 22:45:47 UTC 2018
#@# Talairach Failure Detection Wed Jan  3 23:28:00 UTC 2018
#@# Nu Intensity Correction Wed Jan  3 23:28:00 UTC 2018
#@# Intensity Normalization Wed Jan  3 23:57:00 UTC 2018
#@# Skull Stripping Thu Jan  4 00:00:50 UTC 2018
#@# EM Registration Thu Jan  4 00:34:34 UTC 2018
#@# CA Normalize Thu Jan  4 01:02:00 UTC 2018
#@# CA Reg Thu Jan  4 01:04:57 UTC 2018
#@# SubCort Seg Thu Jan  4 06:28:21 UTC 2018
#@# Merge ASeg Thu Jan  4 09:02:11 UTC 2018
#@# Intensity Normalization2 Thu Jan  4 09:02:11 UTC 2018
#@# Mask BFS Thu Jan  4 09:07:38 UTC 2018
#@# WM Segmentation Thu Jan  4 09:07:41 UTC 2018
#@# Fill Thu Jan  4 09:11:04 UTC 2018
#@# Tessellate lh Thu Jan  4 09:12:29 UTC 2018
#@# Tessellate rh Thu Jan  4 09:12:42 UTC 2018
#@# Smooth1 lh Thu Jan  4 09:12:54 UTC 2018
#@# Smooth1 rh Thu Jan  4 09:13:04 UTC 2018
#@# Inflation1 lh Thu Jan  4 09:13:14 UTC 2018
#@# Inflation1 rh Thu Jan  4 09:14:19 UTC 2018
#@# QSphere lh Thu Jan  4 09:15:22 UTC 2018
#@# QSphere rh Thu Jan  4 09:22:07 UTC 2018
#@# Fix Topology Copy lh Thu Jan  4 09:28:32 UTC 2018
#@# Fix Topology Copy rh Thu Jan  4 09:28:32 UTC 2018
#@# Fix Topology lh Thu Jan  4 09:28:32 UTC 2018
#@# Fix Topology rh Thu Jan  4 22:23:46 UTC 2018
#@# Make White Surf lh Fri Jan  5 12:25:47 UTC 2018
#@# Make White Surf rh Fri Jan  5 12:36:00 UTC 2018
#@# Smooth2 lh Fri Jan  5 12:46:08 UTC 2018
#@# Smooth2 rh Fri Jan  5 12:46:16 UTC 2018
#@# Inflation2 lh Fri Jan  5 12:46:26 UTC 2018
#@# Inflation2 rh Fri Jan  5 12:47:25 UTC 2018
#@# Curv .H and .K lh Fri Jan  5 12:48:26 UTC 2018
#@# Curv .H and .K rh Fri Jan  5 12:51:05 UTC 2018
#@# Curvature Stats lh Fri Jan  5 12:53:36 UTC 2018
#@# Curvature Stats rh Fri Jan  5 12:53:41 UTC 2018
#@# Sphere lh Fri Jan  5 12:53:47 UTC 2018
#@# Sphere rh Fri Jan  5 14:52:54 UTC 2018
#@# Surf Reg lh Fri Jan  5 16:36:13 UTC 2018
#@# Surf Reg rh Fri Jan  5 18:26:41 UTC 2018
#@# Jacobian white lh Fri Jan  5 20:20:50 UTC 2018
#@# Jacobian white rh Fri Jan  5 20:20:54 UTC 2018
#@# AvgCurv lh Fri Jan  5 20:20:57 UTC 2018
#@# AvgCurv rh Fri Jan  5 20:21:00 UTC 2018
#@# Cortical Parc lh Fri Jan  5 20:21:02 UTC 2018
#@# Cortical Parc rh Fri Jan  5 20:21:25 UTC 2018
#@# Make Pial Surf lh Fri Jan  5 20:21:47 UTC 2018
#@# Make Pial Surf rh Fri Jan  5 20:50:25 UTC 2018
#@# Surf Volume lh Fri Jan  5 21:18:18 UTC 2018
#@# Surf Volume rh Fri Jan  5 21:18:25 UTC 2018
#@# Cortical ribbon mask Fri Jan  5 21:18:30 UTC 2018
#@# Parcellation Stats lh Fri Jan  5 21:40:46 UTC 2018
#@# Parcellation Stats rh Fri Jan  5 21:43:17 UTC 2018
#@# Cortical Parc 2 lh Fri Jan  5 21:45:45 UTC 2018
#@# Cortical Parc 2 rh Fri Jan  5 21:46:19 UTC 2018
#@# Parcellation Stats 2 lh Fri Jan  5 21:46:51 UTC 2018
#@# Parcellation Stats 2 rh Fri Jan  5 21:48:05 UTC 2018
#@# Cortical Parc 3 lh Fri Jan  5 21:49:17 UTC 2018
#@# Cortical Parc 3 rh Fri Jan  5 21:49:44 UTC 2018
#@# Parcellation Stats 3 lh Fri Jan  5 21:50:08 UTC 2018
#@# Parcellation Stats 3 rh Fri Jan  5 21:51:17 UTC 2018
#@# WM/GM Contrast lh Fri Jan  5 21:52:28 UTC 2018
#@# WM/GM Contrast rh Fri Jan  5 21:52:40 UTC 2018
#@# Relabel Hypointensities Fri Jan  5 21:52:51 UTC 2018
#@# AParc-to-ASeg aparc Fri Jan  5 21:53:34 UTC 2018
#@# AParc-to-ASeg a2009s Fri Jan  5 22:03:25 UTC 2018
#@# AParc-to-ASeg DKTatlas Fri Jan  5 22:13:11 UTC 2018
#@# APas-to-ASeg Fri Jan  5 22:22:45 UTC 2018
#@# ASeg Stats Fri Jan  5 22:22:55 UTC 2018
#@# WMParc Fri Jan  5 22:27:23 UTC 2018
#@# BA_exvivo Labels lh Fri Jan  5 22:47:05 UTC 2018
#@# BA_exvivo Labels rh Fri Jan  5 22:55:42 UTC 2018
recon-all -s 3279 finished without error at Fri Jan  5 23:03:51 UTC 2018
